time,open_EURUSD,high_EURUSD,low_EURUSD,close_EURUSD,tick_volume_EURUSD,spread_EURUSD,real_volume_EURUSD,SMA_200_EURUSD,BBL_20_2.0_2.0_EURUSD,BBM_20_2.0_2.0_EURUSD,BBU_20_2.0_2.0_EURUSD,BBB_20_2.0_2.0_EURUSD,BBP_20_2.0_2.0_EURUSD,RSI_14_EURUSD,distancia_resistencia_EURUSD,distancia_soporte_EURUSD,open_USDCHF,high_USDCHF,low_USDCHF,close_USDCHF,tick_volume_USDCHF,spread_USDCHF,real_volume_USDCHF,SMA_200_USDCHF,BBL_20_2.0_2.0_USDCHF,BBM_20_2.0_2.0_USDCHF,BBU_20_2.0_2.0_USDCHF,BBB_20_2.0_2.0_USDCHF,BBP_20_2.0_2.0_USDCHF,RSI_14_USDCHF,distancia_resistencia_USDCHF,distancia_soporte_USDCHF,z_score_EURUSD,z_score_USDCHF,spread_total,target_exito
2017-03-03 22:00:00,1.05981,1.06169,1.05964,1.06157,5107,7,5088264000,1.0558125000000005,1.0486407728195055,1.0545380000000002,1.0604352271804949,1.1184475439471462,1.0962124049806266,77.39322419376938,0.0005359029537925,0.0005255660661567,1.00953,1.01004,1.00855,1.00877,4575,9,4714400000,1.0088258999999995,1.0088848279781517,1.0115035,1.0141221720218483,0.5177781434959741,-0.0219248491589859,36.858437524390624,0.0012193025028177,0.0020070877698532,1.397198888904004,0.3038287194035976,1.7010276083076017,0
2017-03-06 01:00:00,1.06095,1.06211,1.06094,1.06204,3448,7,3113598000,1.0559282000000003,1.0486735040543131,1.0559695,1.0632654959456869,1.3818573255547366,0.9160158561757944,75.36610972785537,6.590295379238498e-05,0.0009955660661569,1.00822,1.00857,1.00768,1.00775,1910,10,1613869000,1.0087971499999997,1.006986734160645,1.0107645,1.014542265839355,0.7475066327230453,0.1010207979811084,37.37712450954876,5.236853843748612e-05,0.0009870877698532,1.5812516022250696,-0.0354969432683408,1.5457546589567286,0
2017-03-06 10:00:00,1.05985,1.06397,1.05962,1.06248,8551,7,8047948000,1.0562161500000005,1.0549604706793356,1.059503,1.064045529320664,0.8574830501969763,0.8276808788506527,70.23969155591547,0.0025933028841096,0.0014355660661569,1.00898,1.0092,1.00742,1.00779,6911,9,7007725000,1.0087781499999997,1.006600946738054,1.009062,1.0115230532619464,0.4877902967203666,0.2415740610598879,38.9271568988444,1.236853843744612e-05,0.0010270877698532,1.7514727839574091,-0.1038562048867069,1.6476165790707022,0
2017-03-06 16:00:00,1.05973,1.06045,1.05922,1.05979,6783,7,6629555000,1.0563625000000003,1.0581664406636515,1.060365,1.0625635593363485,0.4146797256319274,0.3692325491303345,54.967343003071456,0.0023233192083611,0.0011335088795165,1.00904,1.01037,1.00899,1.00995,5873,9,6345800000,1.0087959999999994,1.0071048007547163,1.0087560000000002,1.010407199245284,0.3273733678478589,0.8615553978146857,52.40926021099767,0.0017331631861035,0.0018515485956913,0.9737387664863943,0.5918892852399363,1.5656280517263306,0
2017-03-06 17:00:00,1.05979,1.06076,1.05942,1.0598,8516,7,7689709000,1.0564075000000004,1.0581664406636515,1.060365,1.0625635593363485,0.4146797256319274,0.3715067656672131,55.0080698401097,0.002313319208361,0.0011435088795166,1.00994,1.01165,1.00926,1.01129,8023,9,7861025000,1.0087922999999996,1.00686421372758,1.008844,1.01082378627242,0.3924861073505942,1.1177434488951306,59.03502612174573,0.0003931631861033,0.0008186163614214,0.9811715051129304,1.0538577718355775,2.035029276948508,0
2017-03-06 18:00:00,1.0598,1.05989,1.05807,1.05845,6353,7,6028612000,1.0564489500000005,1.0579291856036612,1.0602090000000002,1.0624888143963391,0.4300688630900044,0.1142229817425572,48.61587935217874,0.0012736138236686,0.0021134197932579,1.0113,1.01192,1.01099,1.01157,5442,9,4277725000,1.0087859999999995,1.0066601429520747,1.008984,1.0113078570479257,0.4606330819765963,1.056402555464553,60.2794457385329,0.0001131631861033,0.0010986163614215,0.5701785718102212,1.1448973297382747,1.715075901548496,0
2017-03-06 19:00:00,1.05845,1.05882,1.05763,1.05772,3771,7,3246859000,1.0564833000000005,1.0575840088447102,1.0600120000000002,1.0624399911552902,0.4581063526243139,0.0280048704035732,45.53454996599602,0.0020036138236687,0.0013834197932578,1.01157,1.01257,1.01134,1.01234,2758,9,2730875000,1.0087838999999992,1.006761757303272,1.0092685,1.011775242696728,0.4967444632876215,1.112647641101945,63.557940239366815,0.0032820395454735,0.0018686163614214,0.350359079967077,1.4083533986128174,1.7587124785798944,1
2017-03-06 20:00:00,1.05771,1.05832,1.05745,1.05821,3494,7,3365970000,1.0565214000000007,1.0573617359953225,1.0598755000000002,1.062389264004678,0.4743508090672407,0.1687238744566205,47.92062263850333,0.0015136138236686,0.0018734197932579,1.01235,1.0129,1.01206,1.01211,2177,9,2514825000,1.0087829499999996,1.0067163366712866,1.0094660000000002,1.0122156633287138,0.5447758178509479,0.9807861334130696,61.91405976959825,0.0035120395454735,0.0016386163614214,0.5108403766597319,1.3191446148204775,1.829984991480209,1
2017-03-06 21:00:00,1.0582,1.05882,1.05819,1.05866,2769,7,2858326000,1.0565652500000005,1.057356294858305,1.0597065,1.0620567051416947,0.4435577476772704,0.277359860755542,50.083385054236544,0.0010636138236688,3.508879516500585e-06,1.0121,1.01224,1.0116,1.01164,2156,9,1679775000,1.0087732499999993,1.0068718729089674,1.0096605,1.0124491270910327,0.5523890636570746,0.8549237555579697,58.57977400185614,4.316318610331216e-05,0.0011686163614215,0.6598092728232691,1.145010977484112,1.804820250307381,1
2017-03-06 22:00:00,1.05866,1.05899,1.05801,1.05821,2872,7,2847314000,1.0565995500000007,1.0572255175595044,1.0595575,1.0618894824404954,0.4401804414570203,0.2110827301698019,47.93940683055202,0.0015136138236686,0.0018734197932579,1.01165,1.01214,1.0113,1.01185,2497,9,1844625000,1.0087729999999997,1.0069585528149043,1.0098365,1.0127144471850955,0.5699828011951852,0.8498153146151168,59.62599043737568,0.0037720395454736,0.0013786163614213,0.5256436807577409,1.214022434880016,1.7396661156377569,1
2017-03-06 23:00:00,1.05819,1.05861,1.05798,1.05803,1347,7,1191504000,1.0566327000000006,1.0570606463000296,1.0594249999999998,1.06178935369997,0.4463465936654759,0.2049933772562507,47.0713895149844,0.0016936138236687,0.0016934197932578,1.01188,1.01226,1.01159,1.01181,1524,10,1173273000,1.0087724999999996,1.007090392545429,1.010009,1.0129276074545708,0.5779369202790952,0.8085375522459538,59.31864577037083,0.0038120395454734,0.0013386163614215,0.4770909257296032,1.1918926132170948,1.668983538946698,1
2017-03-07 00:00:00,1.05806,1.05829,1.05771,1.0581,1406,7,688448000,1.0566697500000009,1.0569391739128289,1.0592955,1.0616518260871712,0.4448855087501627,0.2463211890517511,47.46973103427311,0.0016236138236687,0.0017634197932578,1.01237,1.0124,1.01134,1.01208,992,16,727388000,1.0087700499999996,1.0072289394227345,1.0101905,1.0131520605772657,0.5863370477678634,0.819004111296045,60.787905490449255,0.0035420395454734,0.0016086163614215,0.5047875249448591,1.279848845242991,1.78463637018785,1
2017-03-07 01:00:00,1.0581,1.0581,1.05756,1.05787,1835,7,1156139000,1.0566850000000008,1.056797182016732,1.059164,1.061530817983268,0.4469219088390234,0.2266371961959503,46.23837919258597,0.0018536138236686,0.0015334197932579,1.01207,1.01243,1.01188,1.012,1176,12,863875000,1.0087729499999996,1.0074201615412104,1.0103680000000002,1.01331583845879,0.5835177794209168,0.7768129975259692,60.09534941764383,0.0036220395454735,0.0015286163614214,0.4391787204954842,1.2450471333312114,1.6842258538266957,1
